company_id,name,country,city,zip_code
2953,Texas Health and Human Services,US,Austin,78751
2958,Texas Workforce Commission,US,Austin,0
2960,Texas Attorney General,US,Austin,78701-1649
2978,Allianz Life,0,Minneapolis,55416
2980,Lexmark,US,Lexington,0
2981,Saint-Gobain,FR,Courbevoie,92400
2984,"CSAA Insurance Group, a AAA Insurer",US,Walnut Creek,94597
2986,CertainTeed,US,Malvern,19355
2988,VMware,US,Palo Alto,94304
2994,Transportation Security Administration (TSA),US,Arlington,22202
2995,FEMA,US,Washington,20472
2997,U.S. Customs and Border Protection,US,Washington,20229
3007,Universal Music Group,US,Santa Monica,90401
3012,Fifth Third Bank,US,Cincinnati,45202
3015,Mastercard,US,Purchase,10577
3019,Staples,US,Framingham,1702
3027,Elsevier,NL,Amsterdam,1043
3028,"University of California, San Francisco",US,San Francisco,94122
3029,UCSF Health,US,San Francisco,94143
3032,"Ameriprise Financial Services, LLC",US,Minneapolis,55402
3039,Sony Music Entertainment,US,New York,10010
3047,Alcoa,US,Pittsburgh,15212
3050,University of Phoenix,US,Phoenix,85040
3055,Accor,FR,Issy-les-Moulineaux,92130
3067,Tech Mahindra,IN,Pune,411004
3072,Broadcom,US,San Jose,95131
3076,Kforce Inc,US,Tampa,33605
3081,Thermo Fisher Scientific,US,Waltham,0
3084,University of Southern California,US,Los Angeles,90089
3088,Travelers,US,New York,10017-2630
3090,Check Point Software Technologies Ltd,US,San Carlos,94070
3098,Reckitt,GB,Slough,SL1 3UH
3100,U.S. Department of State,US,Washington,20520
3102,BD,US,Franklin Lakes,7417
3114,Office Depot,US,Boca Raton,33496
3117,Lionbridge,US,Waltham,2451
3119,Edwards Vacuum,GB,Burgess Hill,RH15 9TW
3128,FIS,US,Jacksonville,32202
3131,The HEINEKEN Company,NL,Amsterdam,0
3135,Hyatt Regency,US,Chicago,0
3137,Levi Strauss & Co.,US,San Francisco,0
3139,Scotiabank,CA,Toronto,M5H
3140,Freddie Mac,US,McLean,22102-3110
3143,Stop & Shop,US,Quincy,0
3146,Software Engineering Institute | Carnegie Mellon University,US,Pittsburgh,15213
3157,NYU Stern School of Business,US,New York,10012
3162,The University of Texas at Austin,US,Austin,78712
3163,"Penn Medicine, University of Pennsylvania Health System",US,Philadelphia,19104
3165,University of Pennsylvania,US,Philadelphia,19104-6303
3171,The Ohio State University Wexner Medical Center,US,Columbus,43210
3173,The Ohio State University,US,Columbus,43210
3174,Ohio Department of Education and Workforce,US,Columbus,43215
3175,Ingersoll Rand,US,Davidson,28036
3178,JLL,US,Chicago,60601
3181,University of Minnesota,US,Minneapolis and St. Paul,0
3185,Salesforce,US,San Francisco,94105
3192,Mallinckrodt Pharmaceuticals,IE,"Dublin, Ireland",0
3196,Northwestern University,US,Evanston,60208
3214,"Mattel, Inc.",US,El Segundo,90245
3222,AkzoNobel,NL,Amsterdam,1077 WW
3225,Agfa,BE,"Mortsel, Belgium",2640
3235,Boehringer Ingelheim,DE,Ingelheim am Rhein,55218
3240,Farmers Insurance,US,Woodland Hills,91367
3242,International Paper,US,Memphis,38197
3246,CNA Insurance,US,Chicago,60606
3252,KeyBank,US,Cleveland ,44114
3256,Aegon,NL,The Hague,2591 TV
3260,Danfoss,DK,Nordborg,6430
3264,Progressive Insurance,US,Mayfield Village,44143
3269,DHL Supply Chain,DE,Bonn,53113
3282,Stryker,US,Kalamazoo,49002
3289,Physio,US,Atlanta,
3304,Bechtel Corporation,US,Reston,20190
3316,"Ricoh USA, Inc.",US,Exton,19341
3321,Avery Dennison,US,Mentor,0
3330,Cox Communications,US,Atlanta,30328
3334,CDW,US,Vernon Hills,60061
3335,Textron,US,Providence,2903
3339,Textron Systems,US,Haslet,76177
3342,Kaplan,US,Fort Lauderdale,33309
3364,Fiserv,US,Milwaukee,53203
3379,Nordstrom,US,Seattle,98101
3382,UC San Diego,US,La Jolla,92093
3384,UC San Diego Health,US,San Diego,92103
3386,IDC,US,Needham,2494
3392,Celestica,CA,Toronto,M2N 6L7
3398,FICO,US,Bozeman,59715
3402,Sodexo,FR,92866 Issy les Moulineaux Cedex 9,0
3406,Pizza Hut,US,Plano,75024
3407,Taco Bell,US,Irvine,92618
3409,Yum! Brands,US,Louisville,40213
3411,Georgia-Pacific LLC,US,Atlanta,30303
3432,New York Life Insurance Company,US,New York,10010
3439,Kimberly-Clark,US,Irving,75038
3441,Peace Corps,US,Washington,20526
3450,Analog Devices,US,Wilmington,1887
3460,UPMC,US,Pittsburgh,15219
3462,UPMC Health Plan,US,Pittsburgh,15219
3469,Electrolux Group,SE,Stockholm,SE-10545
3475,Holcim,CH,Zug,6300
3476,Michael Page,GB,Addlestone,KT15 2QW
3486,Hays,GB,London,NW1 3BF
3488,IDEMIA,FR,Courbevoie,92400
3493,Conagra Brands,US,Chicago,60654
3496,Progress,US,Burlington,1803
3498,Safeway,US,0,0
3522,Weill Cornell Medicine,US,New York,10065
3523,Cornell University,US,Ithaca,14853
3524,Johns Hopkins Hospital,US,Baltimore,21287
3528,The Johns Hopkins University,US,Baltimore,21218-2688
3534,Continental,DE,Hanover,0
3536,Edelman,US,New York,10013
3537,Macquarie Group,AU,Sydney,2000
3545,Red Hat,US,Raleigh,27601
3549,IHG Hotels & Resorts,GB,Windsor,SL4 1RS
3556,Boston University,US,Boston,2215
3557,Georgia Tech Research Institute,US,Atlanta,30332
3558,Georgia Institute of Technology,US,Atlanta,30332-0530
3569,Hughes,US,Germantown,20876
3570,Arrow Electronics,US,Centennial,80112
3580,Computacenter,GB,Hatfield,AL10 9TW
3586,Mphasis,IN,Bangalore,560093
3587,The Princeton Group,US,New York,10001
3589,Walgreens,US,Deerfield,60015
3595,ESPN,US,Bristol,6010
3608,NVIDIA,US,Santa Clara,95050
3625,Cummins Inc.,US,Columbus,47201
3626,HCA Healthcare,US,Nashville,37203
3627,HCA Healthcare Physician Services,US,Brentwood,37027
3631,MassMutual,US,Springfield,1111
3635,Compucom,US,Fort Mill,29707
3638,University of Maryland,US,College Park,20742
3653,Lenovo,CN,Beijing,100085
3657,Penn State University,US,University Park,16802-1589
3658,Penn State Health,US,Hershey,17033
3671,H&R Block,US,Kansas City,64105
3672,CACI International Inc,US,Reston,20190
3676,Franklin Templeton,US,San Mateo,94403
3677,Edward Jones,US,St. Louis,63131
3678,Corning Incorporated,US,Corning,14831
3681,Fluor Corporation,US,Irving,75039
3684,Mastech Digital,US,Moon Township,15108
3688,JCPenney,US,Plano,75024
3690,Micron Technology,US,Boise,83706
3694,United States Postal Service,US,Washington,20260
3695,Equifax,US,Atlanta,30374
3701,Lear Corporation,US,Southfield ,48033
3720,The Reynolds and Reynolds Company,US,Dayton,45430
3724,the LEGO Group,DK,Billund,7190
3727,ArcelorMittal,LU,L-1160 Luxembourg,0
3741,Korn Ferry,US,Los Angeles,90067
3743,RSM US LLP,US,Chicago,60606
3745,ZF Group,DE,Friedrichshafen,88046
3748,adidas,DE,Herzogenaurach,91074
3757,University of North Carolina at Chapel Hill,US,Chapel Hill,27514
3762,Discover Financial Services,US,Riverwoods,60015
3765,GroupM,US,New York,0
3770,University of Colorado,US,Denver,80203
3771,University of Colorado Boulder,US,Boulder,0
3772,Marvell Technology,US,Santa Clara,95054
3776,Epsilon,US,Irving,75039
3780,Iron Mountain,US,Boston,2110
3789,John Deere,US,Moline,61265
3796,AllianceBernstein,US,Nashville,37203
3818,Air Liquide,FR,Paris,75007
3831,Northern Trust,US,Chicago,60603
3845,Swiss Re,CH,Zurich,8022
3848,MITRE,US,McLean,22102
3854,DS Smith,GB,LONDON,NW1 3AX
3858,Informatica,US,Redwood City,94063
3859,WebMD,US,0,0
3863,Grainger,US,Lake Forest,60045
3866,FedEx Office,US,Plano,75024
3871,Rolls-Royce,GB,London,N1C 4
3881,University of Chicago,US,Chicago,60637
